,University,Motto,Motto in English,Type,Established,Budget,Rector,Academic staff,Administrative staff,Students,Location,Affiliations,Website,Chancellor,President,Campus,Colours,Former name,Parent institution,Vice-president,Address,Undergraduates,Postgraduates,Doctoral students,Colors,Nobel Laureates,Other students,Former names,Other name,Language,Professors,Mascot,Dean,Director,Alumni,Nobel laureates,Athletics,Chairperson,Founder,Academic affiliation,Affiliation,Endowment,Latitude,Longitude
50,/wiki/Kaiserslautern_University_of_Technology,,,Public research university,1970 [1],€ 208.7 million [2],,"2,418 [4]",233 [5],"14,869 [6]","Kaiserslautern ,  Rhineland-Palatinate ,  Germany",,www.uni-kl.de,Stefan Lorenz [3],Helmut J. Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.4432174,7.7689951
51,/wiki/Karlsruhe_Institute_of_Technology,,,Public,"Fridericiana Polytechnic: 1825   TU Karlsruhe: 1865   KIT: October 1, 2009","€ 901,7 million [1] : 103",,"5,859 [1] : 108","3,456 [1] : 108","25,196 [1] : 112","Karlsruhe ,  Baden-Württemberg ,  Germany",German Universities Excellence Initiative CLUSTER CESAER ENTREE TU9 EUA EUCOR Helmholtz Association,kit.edu,,Holger Hanselka [2],Urban / Suburban,,,,,,"14,136 [1] : 112","8,181 [1] : 112",664 [1] : 112,"  
     
   
   
   
     
   
   
   
   
   
   
   
     
   
   
   
     
   
  ",,,,,,,,,,,,,Renate Schubert [2],,,,,49.0068705,8.4034195
52,/wiki/University_of_Kassel,,,Public,1971,€ 228.72 million [1],,"2,019 [1]","1,246 [1]","25,043 [1]","Kassel ,  Hesse ,  Germany",,www.uni-kassel.de,Oliver Fromm [2],Reiner Finkeldey [2],,      Ruby,,,,,,,,,,,,,,,,,,,,,,,,,,51.3154546,9.4924096
53,/wiki/University_of_Kiel,Pax optima rerum,Peace is the greatest good,Public,1665,€ 167.1 million [1],,"1,162 [2]","1,129 [2]","26,735 [3]","Kiel ,  Schleswig-Holstein ,  Germany",,www.uni-kiel.de,,Lutz Kipp  [ de ],Urban,,,,,,,,,Purple and white            ,,,,,,,,,,,,,,,,,,54.3227085,10.135555
54,/wiki/University_of_Koblenz-Landau,,,Public,1990,€ 41.5 million [1],,,,"16,479 [2]","Koblenz  and  Landau ,  Rhineland-Palatinate ,    Germany",,www.uni-koblenz-landau.de,Michael Ludewig,May-Britt Kallenrode,,,,,"Harald von Korflesch ,  Gabriele Schaumann",,,,,,,,,,,,,,,,,,,,,,,50.3638081,7.5592278
55,/wiki/University_of_Konstanz,,,Public,1966,€ 188.65 million (2017) [1],Kerstin Krieglstein,"1,067 [1]",850 [1],"11,268  (WS 2018/19) [1]","Konstanz ,  Baden-Württemberg ,  Germany","German Excellence Universities ,  EUA ,  YERUN ,  IBH",www.uni-konstanz.de,,,,,,,,,,,"1,165  (WS 2018/19) [1]",,,,,,,,,,,,,,,,,,,47.659216,9.1750718
56,/wiki/University_of_Leipzig,Aus Tradition Grenzen überschreiten (German),A tradition of crossing boundaries,Public research university,2 December 1409,€ 408.9 million [1],Beate Schücking,"3,234 [1]","1,962 [1]","29,459 [2]","Leipzig ,  Saxony ,  Germany",Utrecht Network,www.uni-leipzig.de,,,Urban,"      Red 
        Light Blue",,,,,,,,,,,,,,,,,,,,,,,,,,51.3406321,12.3747329
57,/wiki/University_of_L%C3%BCbeck,Im Focus das Leben  ( German ),Focus on Life,Public,1964,€ 113.3 million [1],,"2,154 [1]",310 [1],"4,945  WS 2018/19 [3]","Lübeck ,  Schleswig-Holstein ,  Germany",,www.uni-luebeck.de,,Gabriele Gillessen-Kaesbach [2],,,,,,,,,,Ocean green  and  White             [4],,,,,,,,,,,,,,,,,,53.866444,10.684738
58,/wiki/University_of_L%C3%BCneburg,,,Public,1946,€ 103.2 million [1],,710 [1],450 [1],"9,076 [1]","Lüneburg ,  Lower Saxony ,  Germany",,www.leuphana.de,,Sascha Spoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.248706,10.407855
59,/wiki/University_of_Magdeburg,,,Public,1993,€ 199.1 million [1],Jens Strackeljan,"1,770 [1]","1,009 [1]","14,181 [1]","Magdeburg ,  Saxony-Anhalt ,  Germany",,www .ovgu .de /unimagdeburg /en /,Jörg Wadzack,,,      Purple,,,,,,,,,,,,,,,,,,,,,,,,,,52.1315889,11.6399609
60,/wiki/University_of_Mainz,Ut omnes unum sint German:  Dass alle eins seien,That they all may be one,Public,1477 (University of Mainz)  Re-opened  1946 (Johannes Gutenberg University Mainz),€ 504 million (2018) [1],,"4,353 [2]","7,825 [2]","32,630","Mainz ,  Rhineland-Palatinate ,  Germany",,www.uni-mainz.de,,Georg Krausch  [ de ],,,,,,,,,,      Red,,,,,,,,,,,,,,,,,,50.0012314,8.2762513
